,id,title,rmse,count,cause
415,3822622,Electric Shock,10.53,16,
416,31098083,빙글뱅글 (Bingle Bangle),10.53,18,
417,5824839,맙소사,10.5,16,
418,3796159,나쁜놈 (Feat. 소야),10.47,17,
419,9647324,Dancing King,10.47,16,
420,5826465,멋진헛간,10.45,13,
421,3669673,전쟁이야,10.43,11,
422,3585793,그리워 그리워,10.41,29,
423,3971021,카페인 (Feat. 용준형 Of BEAST),10.41,20,
424,3976699,TALK THAT,10.41,14,
425,4660909,사람냄새,10.4,24,
426,30230986,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기),10.38,23,
427,4001331,I Got A Boy,10.35,17,
428,5708013,몸매 (MOMMAE) (Feat. Ugly Duck),10.34,22,
429,4154505,물 좋아?,10.32,11,
430,4340421,Special Love,10.29,20,
431,5472103,Piano Man,10.28,15,
432,4163116,NoNoNo,10.27,33,
433,5826462,스폰서 ($ponsor),10.27,14,
434,8235260,비,10.26,28,
435,3815739,Like this,10.23,17,
436,3863651,달빛바다,10.22,12,
437,4388691,B.B.B (Big Baby Baby),10.22,11,
438,5704397,이럴거면 그러지말지 (Feat. Young K),10.22,50,
439,5704765,동네술집,10.22,16,
440,31009483,花요일 (Blooming Day),10.22,29,
441,3966128,나쁜 사람,10.19,17,
442,5629186,사월의 눈,10.18,25,
443,3690927,DIRTY,10.17,11,
444,5657052,"조만간 봐요 (Feat. BSK, 개코)",10.17,15,
445,3156952,WHAT IS RIGHT,10.16,14,
446,30568338,에너제틱 (Energetic),10.16,64,
447,7854179,취향저격,10.14,37,
448,3804268,Good Boy (Feat. 용준형 Of 비스트),10.12,16,
449,3900853,좋겠어 (I wish),10.12,11,
450,8034004,"what2do (Feat. Crush, Jeff Bernat)",10.11,13,
451,3366160,피노키오 (Danger),10.1,17,
452,4000640,싫다,10.09,14,
453,4516940,오늘 뭐해,10.09,14,
454,4635740,Good-night Kiss,10.09,17,
455,8243823,맘 편히 (Comfortable),10.09,19,
456,30428511,지나쳐 (Feat. DEAN),10.09,11,
457,4019298,모노드라마 (With 유승우),10.08,25,
458,4722450,고백했는데,10.08,11,
459,30565334,LOVE ME LOVE ME,10.08,12,
460,3385548,Ma Boy (마보이),10.06,18,
461,4594680,요즘 바쁜가봐,10.06,26,
462,5629148,Ice Cream Cake,10.06,22,
463,30408193,맞지?,10.06,17,
464,30970444,소나기 (Feat. 10cm),10.06,32,
465,3929469,보여줄게,10.05,26,
466,8217164,Monster,10.03,46,
467,3911750,피어나,10.02,20,
468,4828024,L4L (Lookin` For Luv) (Feat. Dok2 & The Quiett),10,15,
469,4832150,A Real Man,10,14,
470,7881233,Break,10,19,
471,8250334,Shut Up (Feat. 유희열),9.99,15,
472,3534941,나란 놈은 답은 너다 (Feat. 하림),9.98,13,
473,3691429,내가 노래를 못해도,9.97,14,
474,3847197,I Love You,9.97,21,
475,5637019,새벽 가로수길 (With 송유빈),9.96,18,
476,3337773,제발,9.95,20,
477,5826464,I`m So Sexy,9.95,13,
478,3854238,Midnight (별 헤는 밤),9.91,14,
479,4021392,그런 너 (Disturbance),9.91,12,
480,4105654,이게 무슨 일이야,9.9,13,
481,31246870,한(一),9.9,11,
482,3169779,직감,9.89,15,
483,5639931,꽃이 핀다,9.89,17,
484,8036303,I Miss You,9.88,17,
485,4383349,노래가 늘었어,9.86,23,
486,30403590,New Face,9.86,24,
487,3089992,나쁜 남자,9.85,12,
488,3156953,CAFE,9.85,16,
489,3565193,The Boys,9.85,21,
490,8004377,니가 하면 로맨스 (Feat. 다비치),9.85,19,
491,5820368,Lion Heart,9.84,23,
492,3397448,비가 오는 날엔,9.83,27,
493,3953192,하지 못한 말,9.81,24,
494,3665143,거기서거기 (Without You),9.8,18,
495,5572312,그냥 (Just),9.8,37,
496,3795586,하루 끝,9.79,22,
497,4734486,Darling,9.79,20,
498,30481578,마지막처럼,9.79,67,
499,5536206,목소리,9.77,28,
500,30190630,첫눈처럼 너에게 가겠다,9.77,90,날씨
501,3427926,살다가 한번쯤,9.76,23,
502,3549031,Hello,9.76,26,
503,4418185,Fxxk U (Feat. 범키),9.76,14,
504,3689060,내가 싫다,9.72,12,
505,30844118,Roller Coaster,9.72,41,
506,4706174,오늘부터 1일 (Day 1),9.71,17,
507,3403255,보통,9.7,12,
508,31085236,Intro : Singularity,9.7,15,
509,31085238,전하지 못한 진심 (Feat. Steve Aoki),9.7,24,
510,30403589,I LUV IT,9.68,21,
511,3446888,그 입술을 막아본다,9.66,17,
512,3565240,동경소녀,9.65,23,
513,3866006,남자도 우나요,9.65,15,
514,3731994,너도 나처럼,9.63,14,
515,31131274,Forever Young,9.6,20,
516,3593454,막걸리나,9.59,16,
517,4471542,Mr.Mr.,9.58,15,
518,5642918,아무도 모르게 (Prod. by MC몽),9.55,19,
519,8104509,사랑에 빠졌죠 (당신만이),9.54,16,
520,3796613,HUSH,9.53,15,
521,3818487,MONSTER,9.53,19,
522,30492606,FIVE,9.51,16,
523,31019584,붕붕 (Feat. 식케이) (Prod. GroovyRoom),9.51,28,
524,4048381,어느 봄날,9.49,13,
525,3538478,STEP,9.48,13,
526,4027904,1440,9.47,17,
527,30227054,Rookie,9.47,28,
528,3805813,오늘같은 밤이면,9.46,13,
529,4100916,전원일기 (田園日記) (Feat. 이단옆차기 & 태운),9.46,11,
530,3156359,언제나 사랑해,9.45,11,
531,3994911,Dancing Queen,9.45,13,
532,4383773,Something,9.45,30,
533,4308010,Hush,9.44,19,
534,30163110,좋다고 말해,9.44,52,
535,3521672,So Cool (쏘쿨),9.43,27,
536,30930312,약속해요 (I.P.U.),9.43,30,
537,3747933,Hey You,9.42,11,
538,4009751,Special Girl (Feat. Bumkey),9.4,15,
539,30859636,너 없는 시간들,9.39,13,
540,7881505,No Make Up,9.38,32,
541,3614345,서울사람들,9.37,16,
542,4764928,HER,9.37,35,
543,5476552,니가 모르게 (You Don`t Know),9.35,37,
544,3460102,랄랄라 (Feat. 소야),9.33,14,
545,5756880,괜찮아요,9.33,15,
546,971441,광대 (Feat. B.M.K),9.32,12,
547,4019328,돌스 (Dolls),9.31,12,
548,30179089,당신의 밤 (Feat. 오혁),9.3,20,
549,3904614,POISON,9.28,12,
550,4591400,JACKPOT,9.28,15,
551,7877917,I (Feat. 버벌진트),9.28,34,
552,3715676,FANTASTIC BABY,9.27,26,
553,3779134,"씨스루 (Feat. 개코, Zion.T)",9.26,25,
554,4054983,기대해,9.26,24,
555,7877918,U R,9.26,11,
556,30672529,그리워하다,9.26,54,
557,3946768,"1,2,3,4 (원,투,쓰리,포)",9.23,22,
558,3820624,Mr. BangBang,9.22,11,
559,5456521,사뿐사뿐,9.2,34,
560,3763493,나혼자 (Alone),9.19,27,
561,3853976,청개구리 (Feat. G-Dragon),9.19,13,
562,3929471,저녁 하늘,9.19,25,
563,3946867,"Officially Missing You, Too",9.19,50,
564,30177818,I Miss You,9.18,22,
565,4070103,Rose,9.17,15,
566,5826447,겁 (Feat. 태양),9.16,41,
567,5748398,사랑.. 그 놈 (화생방실 클레오파트라),9.15,11,
568,5402092,걱정말아요 그대,9.12,13,
569,4347674,12월의 기적 (Miracles In December),9.09,14,
570,30558525,귀를 기울이면 (LOVE WHISPER),9.09,13,
571,3440448,Hot Summer,9.08,17,
572,3600222,G.N.O.,9.06,13,
573,8005879,Dream (Prod. by 박근태),9.06,28,
574,31052421,밤 (Time for the moon night),9.04,26,
575,4333566,너 밖에 몰라 (One Way Love),9.03,18,
576,8094566,Don`t Cry (우리 동네 음악대장),9.03,23,
577,30889749,애쓰지 마요,9,17,
578,7911686,날 (Feat. JTONG),8.99,18,
579,3905489,아프다,8.97,13,
580,30310862,얼굴 찌푸리지 말아요,8.97,27,
